"Restaurant","Date","Menu","Cuisine","Company"
"Five Points",1/1/2006,"Brunch",,"Mijin"
"Rue 57",1/1/2007,"Dinner",,"Susan"
"inoteca",1/1/2007,"Dinner","Italian","Mijin"
"Capsouto Freres",6/27/2007,"Dinner","French","Mijin"
"Otto",6/29/2007,"Dinner","Italian","Girls"
"Bistro Les Amis",7/4/2007,"Dinner","French","Mijin"
"Bistro Les Amis",8/13/2008,"Dinner",,"Michael"
"Cacio e Pepe",7/6/2007,"Dinner","Italian","Girls for Ruchi's bday"
"Pazza Notte",7/13/2007,"Dinner","Italian","Heejee"
"Pazza Notte",9/5/2007,"Lunch",,"Christina"
"China Grill",7/20/2007,"Lunch","Asian Fusion","Willkie Las"
"Carmine's ",7/20/2007,"Dinner",,"Girls for Cat's bday"
"Pastis",7/26/2007,"Dinner",,"Simon, Neil"
"Pastis",7/25/2008,"Lunch",,"Sandy, Nick and crew"
"3rd Floor",7/27/2007,"Drinks",,"Heejee and friends"
"Public",8/2/2007,"Dinner",,"Diane, Marisa"
"Public",8/12/2008,"Drinks",,"Michael"
"Pour House",8/4/2007,"Drinks",,"Jane and Cornell kids"
"Soba Nippon",8/8/2007,"Lunch","Japanese","Ashvi"
"SAPA",8/10/2007,"Drinks",,"Ashvi's send-off"
"SAPA",12/2/2007,"Drinks",,"Girls"
"SAPA",3/21/2008,"Dinner",,"Sanghee"
"Insieme",8/13/2007,"Lunch",,"Sandy, Doreen"
"Le Bernardin",8/17/2007,"Lunch",,"Doreen"
"Hedeh",8/17/2007,"Drinks",,"Doreen, Ashvi"
"Pink Elephant",8/17/2007,"Out",,"Nina"
"Bond 45",8/22/2007,"Lunch",,"Nina"
"Spice Market",8/25/2007,"Dinner",,"Jess, Diane, Marisa"
"Latitude",8/31/2007,"Drinks",,"Nina"
"Josephina",9/8/2007,"Lunch",,"Nina"
"Josephina",1/10/2009,"Event",,"Michael and family"
"Bar 41",9/10/2007,"Dinner",,"Nina"
"LavaGina",9/13/2007,"Out (book release party)",,"Nina, Jennifer"
"Luna Park",9/14/2007,"Dinner",,"Mijin"
"Mocca Lounge",9/16/2007,"Brunch",,"Gus"
"Payard Bistro",9/18/2007,"Lunch",,"Nina (after YoYoMa Dress Rehearsal)"
"Café Victor's",9/21/2007,"Lunch",,"Christina, Denise"
"Café Victor's",1/25/2008,"Lunch",,"Christina, Denise"
"Piapillon Bar Bistro ",10/5/2007,"Drinks",,"Nina"
"Purnima",10/11/2007,"Dinner","Indian","Anoop"
"Harmony View Bar & Grill",10/16/2007,"Drinks",,"Anoop"
"Grand Hyatt",10/17/2007,"KACF Gala Dinner",,"Sandy"
"Branch",10/20/2007,"Drinks",,"Jon, Simon and crew"
"Cipriani Downtown",10/26/2007,"Drinks",,"Nina"
"Grace",10/26/2007,"Drinks",,"Nina"
"The Hilton Midtown",10/28/2007,"Coffee",,"Anoop"
"Epoque",11/6/2007,"Drinks",,"Anoop"
"Mercury Bar",11/14/2007,"Drinks, Dinner",,"Anoop"
"Da Andrea",11/18/2007,"Dinner","Indian","Anoop"
"Mercer Kitchen",11/23/2007,"Dinner",,"Jane"
"Sugar",11/23/2007,"Out (Angela's bday party)",,"Jane, Ginny, Angela"
"Stout",11/24/2007,"Out",,"Cornell Hockey game afterparty"
"Jojo's",12/6/2007,"Lunch",,"Sandy, Bloomberg contracts"
"Park Blue",12/11/2007,"Drinks",,"Nina (Nina's bday)"
"Saigon 48",2/7/2008,"Dinner",,"Simon"
"Ivo & Lulu",2/8/2008,"Dinner",,"Marisa, Diane"
"Dallas BBQ",2/15/2008,"Dinner",,"Marisa, Diane, Cat"
"HK",2/21/2008,"Drinks",,"Nina"
"Café Cia",2/29/2008,"Drinks",,"Sophia"
"Felix Bistro",3/8/2008,"Dinner",,"Joonwoo"
"Dos Caminos",3/10/2008,"Dinner",,"Marisa, Diane, Nan, Ruchi"
"Ruby Tuesday's",3/13/2008,"Dinner",,"Ovie"
"Katwalk",3/15/2008,"Out (mijin's bday party)",,"Mijin and crew"
"Cafeteria",3/16/2008,"Brunch",,"Mijin"
"Pongsri Thai Cuisine",3/26/2008,"Lunch",,"Christina"
"Bubble Lounge",3/28/2008,"Drinks",,"Mijin, Dan"
"Insieme",3/28/2008,"Lunch",,"Denise, Christina, Ina"
"Sanctuary T",4/4/2008,"Dinner",,"Sunyoung"
"Sweet & Vicious",4/17/2008,"Event",,"Tower Happy Hr"
"Thai Cuisine",5/2/2008,"Dinner",,"Jason, Harrison"
"South's",5/9/2008,"Lunch",,"Sandy, Nick and crew"
"Bari",5/12/2008,"Breakfast",,
"The Delancey",5/15/2008,"Event",,"Tower Happy Hr"
"Nobu",5/19/2008,"Lunch",,"Sandy"
"Omai",5/23/2008,"Dinner",,"Sunyoung"
"Prince Café",6/4/2008,"Lunch",,"Nan"
"Novecento",6/5/2008,"Brunch",,"Mijin"
"Sullivan Room",7/10/2008,"Event",,"Tower Happy Hr"
"Megu New York",7/22/2008,"Dinner",,"Sylvia, Cindy"
"Snack",7/25/2008,"Dinner",,"Michael - first date"
"Café Pinard",7/25/2008,"Drinks",,"Michael "
"Stanton Public",7/25/2008,"Drinks",,"Michael"
"Jane",7/26/2008,"Brunch",,"Michael and Girls"
"Café Brama",7/30/2008,"Dinner",,"Wire boys"
"Radegasthall",7/31/2008,"Event",,"Tower Happy Hr"
"Indochine",8/1/2008,"Dinner",,"Girls"
"B Bar & Grill",8/2/2008,"Brunch",,"Michael"
"Upstairs At Bouley",8/3/2008,"Brunch",,"Esther"
"Upstairs At Bouley",3/19/2009,"Dinner",,"Michael"
"Klong",8/5/2008,"Dinner",,"Sunyoung"
"Café Noir",8/9/2008,"Dinner",,"Michael and Girls"
